sentence,negPos
Fenerbahçe kompleksiniz batsın,olumsuz
Bu Haftadan İtibaren 2olumsuzolumluolumlu Süper Kupa Finali İçin Başvurun Ve Oynayın ... Bu İş Baydı Artık YETER . OYNAYIN FİNALİ KİM KAZANIRSA KAZANSIN OYNAYIN ... ..,olumsuz
Maça Fenerbahçe'li arkadaşımla gittim . Play-Off zaman soruyor,olumsuz
Fenerbahçe amblemi menemenspor amblemine dönmüş hahqhahq,olumsuz
Necip Uysalın 2olumsuzolumsuz9'dan beri kariyerinde 7 kupası var küçük Tesemin 6 şampiyonluk kupası var Bir resmi sitesinde 2olumsuzolumluolumsuz-2olumsuzolumluolumlu Şampiyonluğu yazıyo ASJLGMTGL Not 2olumsuzolumluolumsuz-2olumsuzolumluolumlu Şampiyonu dir,olumsuz
Yemek yemeğe gittik Tottenham 4lemiş . Ayni Fenerbahçe,olumsuz
olumlu967 Bizim kupamız müzede sizinde bizim dediğiniz kupa Fenerbahçe ’ nin müzede sizede sapı kaldı,olumlu
Ne zor şartı be arkadaş . Fenerbahçe ’ nin hangi eski futbolcusunu getirsen gelirdi . Bu takım olumlu2 tane oyuncuyu mili takıma gönderdi . Bir sürü oyuncuda mili takımlarda oynamış oyuncular . İsmail Kartal hayalinde böyle bir kadro görmez görmeyecek . Ne kadar olayı romantiklştryz,olumsuz
Ali Koç `` Bu devlet isterse Fenerbahçe'nin otobüsünü kurşunlayanları bunu yapanları bulur . Bu kadar net söylüyorum . '',olumlu
come to fenerbahçe,olumlu
Erol Bulut kadar kötü bir teknik direktör Fenerbahçe kulübün kimyasını bozdu . İki sezonda toparlayamadık . Bu sezon Gaziantepspor ’ un kadrosunu çöp etti . Bu adamlara Türkiye ’ iş verilmemeli,olumsuz
Bununla mi mutlu oluyorsunuz cok yazikkkkk Evinde 4 yemis küme düsüyor derdi fenerbahce olmus,olumsuz
Beşiktaş bugün Trabzonu yenemez değilyenmez . Yenerse Fenerbahçe ümitlenecek buna izin vermeyip kazanmayız akşam zaten kazanacak kadromuz golcümüz yok,olumsuz
City Fenerbahçe ATM,olumsuz
anketolumsuz6 Rize Sivas Fenerbahçe,olumlu
Kapalı Kale Lideri Dirgenali Dün oynanan Kayserispor-Fenerbahçe maçında İrfan Can Kahveci'ye topu vermeyen çocuğa krampon hediye etti .,olumlu
Harbiden bunu mi akıl edemiyolar,olumsuz
Şimdi bana Yeni bir Fenerbahçe forması Birde sen lazımsın .,olumlu
Rabbim mübarek Ramazan gününde Fenerbahçe ’ den haksız yere alınan 3 puanın hakkını trabzonspordan çıkarsın İNŞALLAHHHH,olumlu
Fenerbahçe derbide favori . Oyununu buldutakım makine . Gs ’ başkanlıkhocanın durumusakatlıklarformsuzluk vs Bu demek oluyor sanıldığından zor geçmeye aday bir maç .,olumlu
Moralim asiri bozuk lutfen duzeltir misiniz,olumsuz
mevzu fenerbahçe'yse adamlığın birinciliği ikinciliğinin bir önemi yoktur mevzu adam olmayı ıspatsa fenerbahçe kimsenin deneme tahtası değildir ismail kartal seni mütevazi duruşun diğer hocalara benzemez tavırlarınla sevdik . fatih terim'liğe lüzum yok,olumlu
Üslubunu siqeyim… çe teknik direktörü kullandığın kelimelere dikkat et yada etme yaw herkes seviyeni görsün,olumsuz
Bunun Fenerbahçe versiyonunu yapacak bir babayiğit aranıyor,olumlu
Fenerbahçe nefreti nedeniyle insanlıktan çıktınız ahlaksızlar ...,olumsuz
Fenerbahçe'ye aşığım manita Fenerbahçeli olsa tam olcak,olumlu
Çok yaşa Fenerbahçe,olumlu
ŞAMPİYONU FENERBAHÇE .,olumlu
zamanında bursa maçında geride olmasına rağmen sırf fenerbahçe şampiyon olmasın atak yapmayan küçük takıma ağlak hamsiler karşısında başarılar diliyorum,olumlu
