sentence,negPos
Fenerbahçe kompleksiniz batsın,0
Bu Haftadan İtibaren 2011 Süper Kupa Finali İçin Başvurun Ve Oynayın ... Bu İş Baydı Artık YETER . OYNAYIN FİNALİ KİM KAZANIRSA KAZANSIN OYNAYIN ... ..,0
Maça Fenerbahçe'li arkadaşımla gittim . Play-Off zaman soruyor,0
Fenerbahçe amblemi menemenspor amblemine dönmüş hahqhahq,0
Necip Uysalın 2009'dan beri kariyerinde 7 kupası var küçük Tesemin 6 şampiyonluk kupası var Bir resmi sitesinde 2010-2011 Şampiyonluğu yazıyo ASJLGMTGL Not 2010-2011 Şampiyonu dir,0
Yemek yemeğe gittik Tottenham 4lemiş . Ayni Fenerbahçe,0
1967 Bizim kupamız müzede sizinde bizim dediğiniz kupa Fenerbahçe ’ nin müzede sizede sapı kaldı,1
Ne zor şartı be arkadaş . Fenerbahçe ’ nin hangi eski futbolcusunu getirsen gelirdi . Bu takım 12 tane oyuncuyu mili takıma gönderdi . Bir sürü oyuncuda mili takımlarda oynamış oyuncular . İsmail Kartal hayalinde böyle bir kadro görmez görmeyecek . Ne kadar olayı romantiklştryz,
Ali Koç `` Bu devlet isterse Fenerbahçe'nin otobüsünü kurşunlayanları bunu yapanları bulur . Bu kadar net söylüyorum . '',
come to fenerbahçe,1
Erol Bulut kadar kötü bir teknik direktör Fenerbahçe kulübün kimyasını bozdu . İki sezonda toparlayamadık . Bu sezon Gaziantepspor ’ un kadrosunu çöp etti . Bu adamlara Türkiye ’ iş verilmemeli,0
From Italy to Turkey ... Fenerbahce are looking for midfielder as Morten Thorsby . Thus Fenerbahce added another footballer from Italy for summer transfer period . Sampdoria 's footballer 3 goals and 1 asist for this season .,
Bununla mi mutlu oluyorsunuz cok yazikkkkk Evinde 4 yemis küme düsüyor derdi fenerbahce olmus,0
Beşiktaş bugün Trabzonu yenemez değilyenmez . Yenerse Fenerbahçe ümitlenecek buna izin vermeyip kazanmayız akşam zaten kazanacak kadromuz golcümüz yok,0
City Fenerbahçe ATM,0
anket06 Rize Sivas Fenerbahçe,
Kapalı Kale Lideri Dirgenali Dün oynanan Kayserispor-Fenerbahçe maçında İrfan Can Kahveci'ye topu vermeyen çocuğa krampon hediye etti .,1
Harbiden bunu mi akıl edemiyolar,0
Şimdi bana Yeni bir Fenerbahçe forması Birde sen lazımsın .,1
Come to Venha para Fenerbahçe
Rabbim mübarek Ramazan gününde Fenerbahçe ’ den haksız yere alınan 3 puanın hakkını trabzonspordan çıkarsın İNŞALLAHHHH,1
Fenerbahçe derbide favori . Oyununu buldutakım makine . Gs ’ başkanlıkhocanın durumusakatlıklarformsuzluk vs Bu demek oluyor sanıldığından zor geçmeye aday bir maç .,1
Moralim asiri bozuk lutfen duzeltir misiniz,0
mevzu fenerbahçe'yse adamlığın birinciliği ikinciliğinin bir önemi yoktur mevzu adam olmayı ıspatsa fenerbahçe kimsenin deneme tahtası değildir ismail kartal seni mütevazi duruşun diğer hocalara benzemez tavırlarınla sevdik . fatih terim'liğe lüzum yok,1
Üslubunu siqeyim… çe teknik direktörü kullandığın kelimelere dikkat et yada etme yaw herkes seviyeni görsün,0
Bunun Fenerbahçe versiyonunu yapacak bir babayiğit aranıyor,
Fenerbahçe nefreti nedeniyle insanlıktan çıktınız ahlaksızlar ...,0
Fenerbahçe'ye aşığım manita Fenerbahçeli olsa tam olcak,1
Çok yaşa Fenerbahçe,1
2010 - 2011 ŞAMPİYONU FENERBAHÇE .,1
zamanında bursa maçında geride olmasına rağmen sırf fenerbahçe şampiyon olmasın atak yapmayan küçük takıma ağlak hamsiler karşısında başarılar diliyorum,1
